pos,label,train_time_s
1,2025-W18,0.14278322004247457
2,2025-W19,0.1878049720544368
3,2025-W20,0.21479550004005432
4,2025-W21,0.2127830620156601
5,2025-W22,0.21159358997829258
6,2025-W23,0.22124828107189387
7,2025-W24,0.21708451095037162
8,2025-W25,0.42716703296173364
9,2025-W26,0.22400850499980152
10,2025-W27,0.22717451700009406
11,2025-W28,0.2291084760800004
12,2025-W29,0.2277642220724374
13,2025-W30,0.23157574597280473
14,2025-W31,0.4469085930613801
15,2025-W32,0.23201926401816308
16,2025-W33,0.44140578899532557
17,2025-W34,0.23752043501008302
18,2025-W35,0.24224848300218582
19,2025-W36,0.23592077905777842
20,2025-W37,0.2546869319630787
21,2025-W38,0.2450908119790256
22,2025-W39,0.2528636020142585
23,2025-W40,0.4593166239792481
24,2025-W41,0.25751620705705136
25,2025-W42,0.45734881004318595
26,2025-W43,0.26779752399306744
27,2025-W44,0.2789293599780649
28,2025-W45,0.2899087188998237
29,2025-W46,0.490196302998811
30,2025-W47,0.2915546630974859
31,2025-W48,0.49859898397699
32,2025-W49,0.3208463549381122
33,2025-W50,0.3164372720057145
34,2025-W51,0.5271553350612521
35,2025-W52,0.3207934859674424
36,2026-W01,0.2917867220239714
37,2026-W02,0.4907242620829493
38,2026-W03,0.2800937140127644
39,2026-W04,0.4891959900269285
40,2026-W05,0.2890919219935313
41,2026-W06,0.2885054530343041
42,2026-W07,0.28924136597197503
43,2026-W08,0.29461564705707133
44,2026-W09,0.29125939402729273
45,2026-W10,0.29119730705861
46,2026-W11,0.2919717920012772
47,2026-W12,0.2922215861035511
48,2026-W13,0.2991240379633382
49,2026-W14,0.5062402960611507
50,2026-W15,0.3037670450285077
51,2026-W16,0.30503479402977973
52,2026-W17,0.2977130180224776
53,2026-W18,0.30332646996248513
54,2026-W19,0.3053279280429706
55,2026-W20,0.5173093529883772
56,2026-W21,0.3027812299551442
57,2026-W22,0.3007930970052257
58,2026-W23,0.3067762990249321
59,2026-W24,0.3031197199597955
60,2026-W25,0.30323457706253976
61,2026-W26,0.5119657999603078
62,2026-W27,0.3016457910416648
63,2026-W28,0.3097992310067639
64,2026-W29,0.3106684749945998
65,2026-W30,0.30265641305595636
66,2026-W31,0.2998460939852521
67,2026-W32,0.31003738089930266
68,2026-W33,0.3075517980614677
69,2026-W34,0.4996822139946744
70,2026-W35,0.2992511580232531
71,2026-W36,0.304794910014607
72,2026-W37,0.3028154439525679
73,2026-W38,0.30827671906445175
74,2026-W39,0.3031812470871955
75,2026-W40,0.30425112997181714
76,2026-W41,0.3051695990143344
77,2026-W42,0.3123486749827862
78,2026-W43,0.3096795730525628
79,2026-W44,0.5132196639897302
80,2026-W45,0.326456934097223
81,2026-W46,0.3314724660012871
82,2026-W47,0.32837575604207814
83,2026-W48,0.5225387000245973
84,2026-W49,0.34774506103713065
85,2026-W50,0.3474945470225066
86,2026-W51,0.34497532004024833
87,2026-W52,0.3466738340212032
88,2026-W53,0.2316825280431658
