pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.8184524495346807,0.7083870967741935,0.7999662533654873,0.6458823529411765,0.7842857142857143,0.9660000014264369
2,2025-W19,20038,0.8309342360261175,0.728673637864612,0.822102658324061,0.6824742268041237,0.781582054309327,1.0504999991098884
3,2025-W20,20160,0.8123513368969346,0.7067589143161256,0.8216664570656811,0.6838311019567456,0.7312775330396476,1.211999999213731
4,2025-W21,20197,0.8149213485420416,0.7266915290356952,0.8344029211452851,0.7045454545454546,0.7502750275027503,1.0775999999168562
5,2025-W22,20225,0.833510320039976,0.7383406971035837,0.8578869822986727,0.746772591857001,0.7300970873786408,1.0390999996161554
6,2025-W23,20123,0.8193188002061933,0.7145022738756948,0.8469789796789169,0.7288659793814433,0.7006937561942518,1.0254999997414416
7,2025-W24,19898,0.8139052953151674,0.7200811359026369,0.8556487010204881,0.7442348008385744,0.6974459724950884,1.0361000004195375
8,2025-W25,20132,0.8345916696760778,0.7338991512730904,0.8722717702962663,0.7736842105263158,0.698005698005698,1.0678999988158466
9,2025-W26,19947,0.7504051740677743,0.6818181818181818,0.8846122305148731,0.8029612756264237,0.592436974789916,1.0301000002073124
10,2025-W27,20063,0.7314296903474404,0.24049079754601227,0.888962598946413,0.8412017167381974,0.14030064423765212,1.0465999985171948
11,2025-W28,20002,0.8338083359402305,0.4203152364273205,0.9149801969491613,0.8955223880597015,0.2745995423340961,1.0063999998237705
12,2025-W29,20267,0.8327358806483205,0.5278884462151394,0.9016295990412126,0.8717105263157895,0.37857142857142856,1.114499998948304
13,2025-W30,19810,0.8791038253173404,0.6312684365781711,0.9135663456361611,0.8943768996960486,0.48777455449647744,1.0074999991047662
14,2025-W31,20260,0.8687588951072271,0.6536999776436396,0.9002952404159544,0.8733572281959379,0.5223294033583422,1.2526999998954125
15,2025-W32,20079,0.8800722841765763,0.6863952333664349,0.9003129053264676,0.8749367088607595,0.5647058823529412,1.0364000008848961
16,2025-W33,19787,0.887640216421427,0.7092541436464088,0.8997448157053571,0.8804114873553365,0.5938132408210466,1.209000000017113
17,2025-W34,20194,0.8966623035753404,0.7316239316239316,0.9002233185526052,0.88131785847997,0.6253985122210415,1.1070000000472646
18,2025-W35,20014,0.8670535206873363,0.6751523843671566,0.9015175754585893,0.8915719696969697,0.5432775533756492,1.2150999991717981
19,2025-W36,20052,0.48845752978108425,0.34221192819918933,0.9049452189291434,0.9248826291079812,0.20994671403197157,1.0999000005540438
20,2025-W37,20062,0.5202354211937911,0.47366585280781304,0.8892834387674595,0.9384934346924672,0.31677163517611384,1.2531000011222204
21,2025-W38,20001,0.5546648795101106,0.5311350320207112,0.8729318340919139,0.9343240651965484,0.37102608033504664,1.0256999994453508
22,2025-W39,20098,0.5905694827919409,0.5675768308008683,0.8623509659194271,0.938420853796751,0.4068129708483459,1.0669999992387602
23,2025-W40,20035,0.6038265359564494,0.6089688660382748,0.8527186785071139,0.9526362823949955,0.4475230898404702,1.022700000248733
24,2025-W41,20098,0.6142429178005986,0.6194750211685013,0.8360494537717921,0.9508708084221471,0.45937460755996484,1.0576999993645586
25,2025-W42,19932,0.6350402931418362,0.6416294389338987,0.8220599726581762,0.9553551296505073,0.4830141358869129,1.0478000003786292
26,2025-W43,19948,0.6415636788320034,0.6530497648627781,0.8108327013046803,0.9585823202143005,0.4952097083244624,0.9958999999071239
27,2025-W44,22522,0.6360852618154882,0.5605522282001827,0.8725474155462364,0.9708157524613221,0.3940345368916798,1.2040000001434237
28,2025-W45,23973,0.8670718008148989,0.34000348007656167,0.9138152280432039,1.0,0.20482180293501048,1.3161999995645601
29,2025-W46,23876,0.8648170526688491,0.32698024130092673,0.9122619066482133,1.0,0.19544314381270902,1.170300000012503
30,2025-W47,23912,0.8635047793181504,0.30798544950632256,0.9091082828553103,1.0,0.18202293202293202,1.2033999992127065
31,2025-W48,24987,0.8794580624783823,0.33856382978723404,0.8889603393546879,1.0,0.2037778133504082,1.2927999996463768
32,2025-W49,27219,0.8888538567067713,0.3511053315994798,0.8509933395870248,1.0,0.21293375394321767,1.6219000008277362
33,2025-W50,27289,0.8895185957568817,0.3404333120029253,0.8463134818823121,1.0,0.2051338547978407,1.7855000005511101
34,2025-W51,27168,0.8957109118875567,0.345831101589002,0.8423560007739904,1.0,0.20906637884511603,1.6867000013007782
35,2025-W52,27100,0.8974160316788865,0.34042182325257103,0.8360918540567717,1.0,0.20512551202604767,1.5732000010757474
36,2026-W01,21106,0.7724252760804116,0.17797090496882675,0.8801625280745747,0.98125,0.09785996260128818,1.0587999986455543
37,2026-W02,19901,0.8323884156212265,0.20535183349851338,0.8619788702166172,0.9350180505415162,0.11534179470051213,1.0497999992367113
38,2026-W03,19986,0.8406406083363553,0.293985869377908,0.8604612708552805,0.9394273127753304,0.17425944841675178,1.0265999990224373
39,2026-W04,20326,0.8588811072899758,0.3583110318168302,0.855754449991467,0.9421422986708365,0.22122269138975584,1.0172000002057757
40,2026-W05,19823,0.8766116795817169,0.42576803356340504,0.8548483743603694,0.9475903614457831,0.27456798743236166,0.9871999991446501
41,2026-W06,19887,0.8794027001468141,0.46505567401089787,0.8427968928445508,0.9432964920711197,0.30859927684326366,1.0086999991472112
42,2026-W07,20162,0.8876594084526471,0.48375768217734855,0.8395941822095223,0.9487731381833836,0.32464280453675065,1.1002000010194024
