pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.8184524495346807,0.7083870967741935,0.7999662533654873,0.6458823529411765,0.7842857142857143,1.24379999761004
2,2025-W19,20038,0.8266446372686612,0.7143695014662756,0.7897381602648209,0.6278350515463917,0.8285714285714286,1.1658000003080815
3,2025-W20,20160,0.8121502560673725,0.6877192982456141,0.7751103533271624,0.6055612770339855,0.7956698240866035,1.3319999998202547
4,2025-W21,20197,0.8195643685376715,0.6908212560386473,0.7663839764250694,0.5909090909090909,0.8313953488372093,1.747400005115196
5,2025-W22,20225,0.8421749716716936,0.7121034077555817,0.7739512675727467,0.6017874875868917,0.8719424460431655,1.2903000024380162
6,2025-W23,20123,0.8333553804061657,0.6988249845392702,0.7615644896897615,0.5824742268041238,0.8732612055641422,1.371300000755582
7,2025-W24,19898,0.8324153462572828,0.6789107029765674,0.7478002970671567,0.5618448637316562,0.8576,1.7166999969049357
8,2025-W25,20132,0.8555841627021558,0.7177215189873418,0.7712858610097234,0.5968421052631578,0.9,1.2733999974443577
9,2025-W26,19947,0.7763041573695934,0.6749509483322433,0.7638970271248116,0.5876993166287016,0.7926267281105991,1.3435000000754371
10,2025-W27,20063,0.7203039484847649,0.35525024533856725,0.8678269724224031,0.776824034334764,0.23027989821882952,1.3699999981326982
11,2025-W28,20002,0.8233053424186505,0.5633978763272954,0.9027057984421654,0.8414179104477612,0.42347417840375584,2.000599997700192
12,2025-W29,20267,0.8214035401606257,0.6585365853658537,0.8807257118079143,0.7993421052631579,0.5599078341013825,1.445899993996136
13,2025-W30,19810,0.8693006836959065,0.7639182522903453,0.8967720063417656,0.8237082066869301,0.7122207621550591,1.320899995334912
14,2025-W31,20260,0.8599428384904859,0.778978102189781,0.8826179062401164,0.7968936678614098,0.7618503712164477,1.2445000029401854
15,2025-W32,20079,0.8713196141633721,0.7942754919499105,0.8775796532906244,0.7868354430379747,0.8018575851393189,1.3651999979629181
16,2025-W33,19787,0.8806997700791176,0.810989010989011,0.8797569143329658,0.7908272610372911,0.8322056833558863,1.516699994681403
17,2025-W34,20194,0.8913141384602316,0.8219659957006058,0.8785976586674393,0.7873455634593786,0.8597710547833197,1.3287999972817488
18,2025-W35,20014,0.8626050417227692,0.804005722460658,0.8835365374747577,0.7982954545454546,0.8097982708933718,1.360700000077486
19,2025-W36,20052,0.48454042495966315,0.5118035882908404,0.8984767922263494,0.8482003129890454,0.3664638269100744,1.236099997186102
20,2025-W37,20062,0.5215830498312184,0.6028182469548603,0.896048031294823,0.8721492743607464,0.46058394160583943,1.4682000037282705
21,2025-W38,20001,0.5615848866088506,0.6278822277403334,0.8741352661559888,0.8485139022051774,0.4983108108108108,1.3376999995671213
22,2025-W39,20098,0.6000513108207594,0.6571847507331379,0.8676921430259407,0.8466188137514167,0.5370237239396118,1.3389000014285557
23,2025-W40,20035,0.6201683951350252,0.6716488730723607,0.8543694603595882,0.8433124813821865,0.5580524344569289,1.2922999958391301
24,2025-W41,20098,0.6367419974427259,0.677093307798702,0.8405418208161394,0.8271380296334806,0.5731268011527377,1.2177000025985762
25,2025-W42,19932,0.663946791128781,0.6812393081163277,0.8231610322514614,0.8081172491544533,0.5887957943157549,1.399299995682668
26,2025-W43,19948,0.6713148069398177,0.6862554208337021,0.8142024405830777,0.7988872862147125,0.6014582686937636,1.419300002453383
27,2025-W44,22522,0.6633285672865967,0.6113843991567112,0.7598455105958878,0.6118143459915611,0.6109550561797753,1.7634999967413023
28,2025-W45,23973,0.923139161081511,0.00815494393476045,0.0639856688150984,0.0040941658137154556,1.0,1.9456000009085983
29,2025-W46,23876,0.9269113698841253,0.010638297872340425,0.07312724241271307,0.0053475935828877,1.0,1.4962999994168058
30,2025-W47,23912,0.9303260249966662,0.006726457399103139,0.05809111961158765,0.003374578177727784,1.0,1.76830000418704
31,2025-W48,24987,0.9446847238213484,0.023291925465838508,0.10855039989136392,0.01178318931657502,1.0,1.7435999980079941
32,2025-W49,27219,0.9499795051198934,0.046511627906976744,0.1543033499620919,0.023809523809523808,1.0,1.5329999951063655
33,2025-W50,27289,0.9538871229217655,0.0614263404476835,0.17800662559025135,0.03168635875402793,1.0,1.6262999997707084
34,2025-W51,27168,0.9596010868776356,0.07167745146839223,0.19279751764083142,0.0371708828084667,1.0,1.7992000066442415
35,2025-W52,27100,0.9657937121308856,0.08623223909848114,0.21227077935637112,0.04505888376856119,1.0,1.61419999494683
36,2026-W01,21106,0.7694747852551282,0.4236453201970443,0.518411033833193,0.26875,1.0,1.215800002682954
37,2026-W02,19901,0.7746567700594569,0.7318181818181818,0.7623039208988197,0.5812274368231047,0.9877300613496932,1.7797999971662648
