pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.7616973431171454,0.8,0.8255436222932189,0.6823529411764706,0.9666666666666667,88.9430999995966
2,2025-W19,20038,0.7746518618414665,0.8059347181008902,0.835869854760247,0.7,0.9496503496503497,103.11170000022685
3,2025-W20,20160,0.7704343637034261,0.8061647895672792,0.8360592848711574,0.7003089598352215,0.9497206703910615,97.20209999977669
4,2025-W21,20197,0.7622436808082541,0.8007246376811594,0.8270591761695559,0.6849173553719008,0.9636627906976745,99.63880000032077
5,2025-W22,20225,0.7663616435854849,0.7876672484002327,0.8191883510123863,0.6722939424031777,0.9508426966292135,100.50479999881645
6,2025-W23,20123,0.7575923805979342,0.7906698564593302,0.8246117648483463,0.6814432989690722,0.9415954415954416,112.65090000051714
7,2025-W24,19898,0.7610508411605148,0.7970570202329859,0.8248458246791474,0.6813417190775681,0.9601181683899557,101.07969999990019
8,2025-W25,20132,0.7525947295494217,0.7875076546233926,0.8218459066918354,0.6768421052631579,0.9414348462664714,98.64770000058343
9,2025-W26,19947,0.680719133816124,0.7539332913782253,0.8235443630642082,0.6822323462414579,0.8424753867791842,111.71739999917918
10,2025-W27,20063,0.15975251565845913,0.3551912568306011,0.8992402556997006,0.8369098712446352,0.2254335260115607,110.86700000123528
11,2025-W28,20002,0.32352965669177813,0.5653206650831354,0.9259602281304844,0.8880597014925373,0.4146341463414634,109.62839999956486
12,2025-W29,20267,0.4290107686893748,0.6633416458852868,0.9184417576559486,0.875,0.5341365461847389,137.76250000046275
13,2025-W30,19810,0.5480706073301773,0.7568087151553989,0.931201900738474,0.8974164133738601,0.6542936288088642,110.19610000039393
14,2025-W31,20260,0.5940820424891838,0.7799575821845175,0.9214604897827663,0.8787335722819594,0.7011439466158246,111.21430000093824
15,2025-W32,20079,0.6261570143443042,0.796228150873965,0.919442777053938,0.8764556962025316,0.729456384323641,110.30700000083016
16,2025-W33,19787,0.6613696804928958,0.8179282868525897,0.9208790973316947,0.8799828546935277,0.7640491254186825,112.28819999996631
17,2025-W34,20194,0.6963438498291757,0.8325936445943547,0.9203450510878133,0.8779483339573193,0.7916948008102633,136.90219999989495
18,2025-W35,20014,0.6516365161405697,0.8073354908306365,0.9239185997204602,0.8858901515151515,0.7415774871185097,112.94620000080613
19,2025-W36,20052,0.2727885728621682,0.4736,0.930530506527676,0.9264475743348983,0.3181085437936593,109.30179999922984
20,2025-W37,20062,0.38391257043219856,0.5739316239316239,0.9131776712701934,0.9281271596406357,0.4154036498608104,123.48029999884602
21,2025-W38,20001,0.42913537106242494,0.615654391838036,0.8995133031894366,0.9256951102588686,0.4611893957487461,98.40170000097714
22,2025-W39,20098,0.47929503150367025,0.6390780513357779,0.8872174249951071,0.9217982621836041,0.4890759671276809,88.43220000017027
23,2025-W40,20035,0.5051718069458199,0.6682942362806497,0.879651167061861,0.9377420315758117,0.5191292875989446,87.7424999998766
24,2025-W41,20098,0.515330983801745,0.6772714512959671,0.8684910776006608,0.9407330387314791,0.529093567251462,88.42720000029658
25,2025-W42,19932,0.5344171621778872,0.6907531139156974,0.85486803898843,0.9440811724915446,0.5446149843912591,89.86629999890283
26,2025-W43,19948,0.5404902966955232,0.6966957842764907,0.843638622898129,0.9449824850607872,0.5517324350336862,89.9067999998806
27,2025-W44,22522,0.6000714782252626,0.7289245156980628,0.9305710011936544,0.9592123769338959,0.5878043525102349,100.10829999919224
28,2025-W45,23973,0.7317916103075304,0.7949552481692432,0.9889808617434234,1.0,0.6596893990546928,111.48990000037884
29,2025-W46,23876,0.756034052971968,0.8015430775825118,0.98985746118833,1.0,0.6688125894134478,109.61800000040967
30,2025-W47,23912,0.743141227810148,0.7898711683696135,0.9896743541596974,1.0,0.6527165932452276,122.10640000012063
31,2025-W48,24987,0.7753559578327782,0.8026481715006305,0.9867127705626724,1.0,0.6703528172722486,112.78719999972964
32,2025-W49,27219,0.7982140897707101,0.8010171646535282,0.9812888816453549,1.0,0.6680805938494168,123.63230000119074
33,2025-W50,27289,0.8137981343849368,0.806060606060606,0.9822229213912729,1.0,0.6751269035532995,123.76819999917643
34,2025-W51,27168,0.8103042402340555,0.8089371476299854,0.9817001007379144,1.0,0.6791725105189341,120.02100000063365
35,2025-W52,27100,0.8198245463323794,0.8180104712041885,0.9825696891412676,1.0,0.6920623671155209,124.64259999978822
36,2026-W01,21106,0.4213304963091023,0.5885350318471337,0.9660200588982281,0.9625,0.42385321100917434,99.60389999832842
37,2026-W02,19901,0.31689560202746986,0.5651418645049219,0.9217800518244873,0.8808664259927798,0.41602728047740833,99.38340000007884
38,2026-W03,19986,0.4232764298019789,0.6652841144753214,0.9223911880366952,0.8832599118942731,0.5335994677312043,99.07360000033805
39,2026-W04,20326,0.5270148663977604,0.7359843546284224,0.9231108293457072,0.8827208756841283,0.6310788149804359,99.27440000137722
