iter	Passed	Remaining
0	10	5230
1	21	5240
2	32	5466
3	43	5400
4	53	5296
5	63	5260
6	73	5198
7	85	5249
8	95	5236
9	105	5161
10	115	5137
11	125	5115
12	135	5073
13	144	5027
14	154	4989
15	164	4967
16	172	4914
17	181	4869
18	190	4826
19	200	4817
20	210	4799
21	219	4759
22	229	4752
23	238	4730
24	249	4745
25	260	4744
26	270	4737
27	280	4731
28	290	4719
29	300	4708
30	310	4691
31	318	4652
32	326	4626
33	334	4587
34	343	4559
35	350	4518
36	359	4499
37	366	4460
38	376	4455
39	384	4426
40	393	4404
41	401	4376
42	409	4354
43	417	4327
44	425	4307
45	433	4281
46	442	4260
47	449	4236
48	458	4216
49	465	4190
50	474	4174
51	481	4152
52	490	4138
53	498	4119
54	508	4110
55	516	4093
56	524	4076
57	532	4056
58	541	4045
59	549	4029
60	558	4019
61	567	4008
62	576	3995
63	584	3983
64	592	3967
65	601	3954
66	609	3936
67	617	3921
68	626	3912
69	635	3905
70	644	3892
71	652	3879
72	660	3863
73	669	3851
74	676	3835
75	685	3824
76	693	3809
77	701	3796
78	709	3779
79	717	3768
80	726	3755
81	735	3748
82	742	3732
83	752	3727
84	761	3717
85	770	3709
86	779	3698
87	789	3695
88	798	3686
89	807	3678
90	817	3672
91	826	3666
92	835	3657
93	843	3643
94	852	3633
95	860	3621
96	868	3609
97	877	3601
98	887	3595
99	896	3587
100	905	3579
101	914	3569
102	923	3558
103	931	3547
104	939	3533
105	947	3522
106	955	3509
107	964	3501
108	972	3487
109	981	3480
110	990	3469
111	999	3461
112	1007	3449
113	1015	3439
114	1023	3426
115	1032	3417
116	1040	3404
117	1048	3395
118	1056	3383
119	1064	3371
120	1073	3361
121	1081	3351
122	1089	3340
123	1098	3331
124	1106	3320
125	1116	3314
126	1125	3304
127	1134	3298
128	1145	3294
129	1155	3288
130	1165	3284
131	1175	3276
132	1187	3277
133	1205	3293
134	1220	3298
135	1238	3314
136	1249	3311
137	1261	3308
138	1272	3303
139	1283	3300
140	1309	3333
141	1335	3366
142	1345	3359
143	1355	3350
144	1366	3344
145	1376	3338
146	1387	3330
147	1396	3322
148	1406	3313
149	1417	3306
150	1428	3301
151	1441	3301
152	1451	3292
153	1461	3283
154	1470	3273
155	1480	3265
156	1490	3256
157	1499	3246
158	1509	3236
159	1517	3225
160	1526	3214
161	1535	3203
162	1545	3194
163	1553	3182
164	1562	3172
165	1571	3161
166	1580	3151
167	1590	3142
168	1598	3131
169	1607	3121
170	1616	3110
171	1625	3100
172	1633	3088
173	1643	3078
174	1651	3066
175	1660	3057
176	1668	3045
177	1678	3036
178	1686	3024
179	1695	3013
180	1704	3003
181	1712	2992
182	1721	2982
183	1730	2971
184	1739	2961
185	1747	2949
186	1756	2939
187	1763	2927
188	1772	2916
189	1780	2905
190	1789	2895
191	1797	2883
192	1806	2873
193	1814	2861
194	1824	2853
195	1832	2842
196	1840	2831
197	1848	2819
198	1857	2809
199	1866	2799
200	1875	2789
201	1883	2778
202	1892	2769
203	1900	2757
204	1908	2746
205	1916	2735
206	1927	2727
